descripcion,nombre,idTipo,idValor
,INSTITUTO TECNICO KARL MARX STADT CHEMNITZ ALEMANIA,11,305
,INSTITUTO TECNOLOGICO DE LIMA - INSTTEL,11,306
,INSTITUTO TECNOVA,11,307
,INSTITUTO TECSUP,11,308
,INSTITUTO TOMAS ALVA EDISON,11,309
,INSTITUTO TORIBIO RODRIGUEZ DE MENDOZA,11,310
,INSTITUTO TOULOUSE LAUTREC,11,311
,INSTITUTO TRUJILLO,11,312
,INSTITUTO URUSAYHUA,11,313
,INSTITUTO VICTOR ANDRES BELAUNDE,11,314
,INSTITUTO VILCABAMBA,11,315
,INSTITUTO VIRGEN DE LAS NIEVES,11,316
,INSTITUTO WERNHER VON BRAUN,11,317
,INSTITUTO WORL TRADE INSTITUTE,11,318
,POLITECNICO DE MILANO,11,319
,SENATI,11,320
,LIDERAZGO,12,0000
,PROACTIVIDAD,12,0001
,CAPACIDAD PARA INTERRELACIONARSE A TODO NIVEL,12,0002
,CAPACIDAD PARA TRABAJAR BAJO PRESION,12,0003
,CAPACIDAD DE ANALISIS Y SINTESIS,12,0004
,INICIATIVA,12,0005
,PERSUASION,12,0006
,PROACTIVIDAD,12,0007
,ORIENTACION AL CLIENTE,12,0008
,SOCIABILIDAD,12,0009
,RECEPTIVIDAD,12,0010
,PERSEVERANCIA,12,0011
,CAPACIDAD DE NEGOCIACION,12,0012
,HONESTIDAD,12,0013
,TRABAJO BAJO PRESION,12,0014
,PLANIFICACION Y ORGANIZACION,12,0015
,EMPATIA,12,0016
,CAPACIDAD PARA COMPRENDER Y TRANSMITIR INFORMACION,12,0017
,TRANSPARENCIA E INTEGRIDAD,12,0018
,SOLUCION DE PROBLEMAS,12,0019
,ADAPTABILIDAD,12,0020
,TRABAJO EN EQUIPO,12,0021
,COMPROMISO,12,0022
,COMUNICACION EFECTIVA,12,0023
,CREATIVIDAD E INNOVACION,12,0024
,CAPACIDAD PARA ENSENAR Y APRENDER,12,0025
,ORIENTACION A RESULTADOS,12,0026
,ESTUDIOS/EXPERIENCIA,13,001
,HABILIDADES INNATAS,13,002
,OTROS,13,003
,CONOCIMIENTOS,13,004
,SIN DEFINICION,13,009
,EXCELENTE,14,001
,MUY BUENO,14,002
,BUENO,14,003
,REGULAR,14,004
,MALO,14,005
,SIN DEFINICION,14,009
,MANANA,15,0000
,TARDE,15,0001
,NOCHE,15,0002
,TIEMPO COMPLETO,15,0003
,TENNIS,16,0001
,NATACION,16,0002
,CINE,16,0003
,MUSICA,16,0004
,TECNOLOGIA,16,0005
,FUTBOL,16,0006
,VOLEY,16,0007
,BASQUET,16,0008
,MANUALIDADES,16,0009
,EXCURSIONES,16,0010
,VIAJES,16,0011
,LEER,16,0012
,COCINAR,16,0013
,ESTAR EN FAMILIA,16,0014
,IR DE COMPRAS,16,0015
NUEVOS SOLES,S/.,17,001
DOLARES AMERICANOS,USD,17,002
EUROS,EUR,17,003
,Masculino,18,M
,Femenino,18,F
,Si,19,S
,No,19,N
