descripcion,nombre,idTipo,idValor
,ESCUELA ADMINISTRACION DE NEGOCIOS (ESAN) (AREQUIPA),11,002
,ESCUELA ADMINISTRACION DE NEGOCIOS (ESAN) (SANTIAGO DE SURCO),11,003
,ESCUELA PROFESIONAL DE CIENCIAS BIOLOGICAS - UNP,11,004
,ESCUELA NORMAL DE TUMBES,11,005
,UNIVERSIDAD AGRARIA LA MOLINA,11,006
,UNIVERSIDAD ALAS PERUANAS (UAP) (LIMA),11,007
,UNIVERSIDAD ANDINA DEL CUSCO (UANDINA) (CUSCO),11,008
,UNIVERSIDAD ANDINA N. CACERES VELASQUEZ (UANCV) (PUNO - JULIACA),11,009
,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA (UARM) (PUEBLO LIBRE),11,010
,UNIVERSIDAD AUTONOMA DE BARCELONA,11,011
,UNIVERSIDAD CATOLICA DE SANTA MARIA (UCSM) (AREQUIPA),11,012
,UNIVERSIDAD CATOLICA SAN PABLO (USP) (AREQUIPA),11,013
,UNIVERSIDAD CATOLICA SEDES SAPIENTIAE (UCSS) (LOS OLIVOS),11,014
,UNIVERSIDAD CATOLICA STO. TORIBIO DE MOGROVEJO (USAT) (CHICLAYO),11,015
,UNIVERSIDAD CESAR VALLEJO (UCV) (CHICLAYO),11,016
,UNIVERSIDAD CESAR VALLEJO (UCV) (CHIMBOTE),11,017
,UNIVERSIDAD CESAR VALLEJO (UCV) (LIMA),11,018
,UNIVERSIDAD CESAR VALLEJO (UCV) (PIURA),11,019
,UNIVERSIDAD CESAR VALLEJO (UCV) (TARAPOTO),11,020
,UNIVERSIDAD CESAR VALLEJO (UCV) (TRUJILLO),11,021
,UNIVERSIDAD CIENTIFICA DEL SUR (UCSUR) (MIRAFLORES),11,022
,UNIVERSIDAD COMPLUTENSE DE MADRID,11,023
,UNIVERSIDAD CONTINENTAL DE CIENCIAS E INGENIERIA (UCCI) (HUANCAYO),11,024
,UNIVERSIDAD DE BARCELONA,11,025
,UNIVERSIDAD DE BERNIA FRIBURGO Y NEUCHATEL,11,026
,UNIVERSIDAD DE CHICLAYO (UDCH) (CHICLAYO),11,027
,UNIVERSIDAD DE FERRERA,11,028
,UNIVERSIDAD DE LIMA (ULIMA) (SANTIAGO DE SURCO),11,029
,UNIVERSIDAD DE MILAN,11,030
,UNIVERSIDAD DE PIURA (PAD) (SAN ISIDRO),11,031
,UNIVERSIDAD DE PIURA (UDEP) (PIURA),11,032
,UNIVERSIDAD DE ROMA LA SAPIENZA - ITALIA,11,033
,UNIVERSIDAD INCA GARCILASO DE LA VEGA (UIGV) (EL CERCADO),11,034
,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO ,11,035
,UNIVERSIDAD INTERNACIONAL DE CATALUNA,11,036
,UNIVERSIDAD JOSE CARLOS MARIATEGUI (UJCM) (ILO - MOQUEGUA),11,037
,UNIVERSIDAD JOSE FAUSTINO SANCHEZ CARRION (UNJFSC) (HUACHO),11,038
,UNIVERSIDAD LONDON ORATORY SCHOOL,11,039
,UNIVERSIDAD LOS ANGELES DE CHIMBOTE (ULADECH) (CHIMBOTE),11,040
,UNIVERSIDAD MARCELINO CHAMPAGNAT (UMCH) (SANTIAGO DE SURCO),11,041
,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA (LA MOLINA),11,042
,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION (UNDAC) (CERRO DE PASCO),11,043
,UNIVERSIDAD NACIONAL DE EDUCACION E. GUZMAN Y VALLE (UNE) (LIMA),11,044
,UNIVERSIDAD NACIONAL DE HUANCAVELICA (UNH) (HUANCAVELICA),11,045
,UNIVERSIDAD NACIONAL DE INGENIERIA (UNI) (RIMAC),11,046
,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA (UNAP) (IQUITOS),11,047
,UNIVERSIDAD NACIONAL DE PIURA (UNP) (CASTILLA),11,048
,UNIVERSIDAD NACIONAL DE S. A. DE AREQUIPA (UNSA) (AREQUIPA),11,049
,UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA (UNSCH) (HUAMANGA,11,050
,UNIVERSIDAD NACIONAL DE SAN MARTIN (UNSM) (TARAPOTO),11,051
,UNIVERSIDAD NACIONAL DE TRUJILLO (UNITRU) (TRUJILLO),11,052
,UNIVERSIDAD NACIONAL DE TUMBES (UNTUMBES) (TUMBES),11,053
,UNIVERSIDAD NACIONAL DE UCAYALI (UNU) (PUCALLPA),11,054
,UNIVERSIDAD NACIONAL DEL ALTIPLANO (UNAP) (PUNO),11,055
,UNIVERSIDAD NACIONAL DEL CALLAO (UNAC) (BELLAVISTA),11,056
,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU (UNCP) (HUANCAYO),11,057
,UNIVERSIDAD NACIONAL DEL SANTA (UNS) (CHIMBOTE),11,058
,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL (UNFV) (SAN MIGUEL),11,059
,UNIVERSIDAD NACIONAL HERMILIO VALDIZAN HUANUCO (UNHEVAL) (HUANUCO),11,060
,UNIVERSIDAD NACIONAL J. BASADRE GROHMANN (UNJBG) (TACNA),11,061
,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS (UNMSM) (EL CERCADO),11,062
,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO (UNPRG) (LAMBAYEQUE),11,063
,UNIVERSIDAD NACIONAL SAN ANTONIO ABAD (UNSAAC) (CUSCO),11,064
,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA (UNICA) (ICA),11,065
,UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO,11,066
,UNIVERSIDAD NACIONAL SGO. ANTUNEZ DE MAYOLO (UNASAM) (HUARAZ),11,067
,UNIVERSIDAD NORBERT WIENER (UWIENER) (LIMA),11,068
,UNIVERSIDAD OF WINDSOR - ONTARIO - CANADA,11,069
,UNIVERSIDAD OVIEDO DE ESPANA,11,070
,UNIVERSIDAD PARTICULAR LOS ANGELES (ULA) (CHIMBOTE),11,071
,UNIVERSIDAD PERUANA CAYETANO HEREDIA (UPCH) (SAN MARTIN DE PORRES),11,072
,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS (UPC) (SANTIAGO DE SURCO),11,073
,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMATICA (UPCI) (JESUS MARIA),11,074
,UNIVERSIDAD PERUANA DE LAS AMERICAS (EL CERCADO),11,075
,UNIVERSIDAD PERUANA LOS ANDES (UPLA) (HUANCAYO),11,076
,UNIVERSIDAD PERUANA UNION (UPEU) (NANA),11,077
,UNIVERSIDAD POLITECNICA DE CATALUNA,11,078
,UNIVERSIDAD PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU (PUCP) (SAN MIGUEL),11,079
